event_id	chrom	host_pos	del_len	ins_len	hpv_ref	hpv_path	hpv_strand	copies	source
E18_RAND38_B	chr2	147610943	134237	5974	HPV16REF|lcl|Human	HPV:3420-6021,6022-1487(-)	.	1	RAND38
E19_RAND89_A	chr2	99404673	0	4587	HPV16REF|lcl|Human	HPV:4037-717(+)	.	1	RAND89
E20_RAND66_B	chr2	82017057	134237	5974	HPV16REF|lcl|Human	HPV:7430-2125,2126-5497(-)	.	1	RAND66
E21_EXTRA_A	chr2	32916236	0	4587	HPV16REF|lcl|Human	HPV:7583-4263(+)	.	1	EXTRA
E22_RAND61_B	chr2	7420804	134237	5974	HPV16REF|lcl|Human	HPV:3121-5722,5723-1188(-)	.	1	RAND61
E23_RAND94_A	chr2	3117489	0	4587	HPV16REF|lcl|Human	HPV:2037-6623(+)	.	1	RAND94
E24_SINE_B	chr3	189879690	134237	5974	HPV16REF|lcl|Human	HPV:4445-7046,7047-2512(-)	.	1	SINE
E25_RAND71_A	chr3	157905982	0	4587	HPV16REF|lcl|Human	HPV:7528-4208(+)	.	1	RAND71
E26_RAND73_B	chr3	146232557	134237	5974	HPV16REF|lcl|Human	HPV:5505-200,201-3572(-)	.	1	RAND73
E27_EXTRA_A	chr3	141401612	0	4587	HPV16REF|lcl|Human	HPV:7701-4381(+)	.	1	EXTRA
E28_EXTRA_B	chr3	93470597	134237	5974	HPV16REF|lcl|Human	HPV:3282-5883,5884-1349(-)	.	1	EXTRA
E29_LINE_A	chr3	82226566	0	4587	HPV16REF|lcl|Human	HPV:2573-7159(+)	.	1	LINE
E30_LINE_B	chr3	81992132	134237	5974	HPV16REF|lcl|Human	HPV:3627-6228,6229-1694(-)	.	1	LINE
E31_RAND51_A	chr3	76730725	0	4587	HPV16REF|lcl|Human	HPV:3362-42(+)	.	1	RAND51
E32_RAND74_B	chr3	74883226	134237	5974	HPV16REF|lcl|Human	HPV:7484-2179,2180-5551(-)	.	1	RAND74
E33_RAND76_A	chr3	65011016	0	4587	HPV16REF|lcl|Human	HPV:2889-7475(+)	.	1	RAND76
E34_RAND79_B	chr3	31906110	134237	5974	HPV16REF|lcl|Human	HPV:6237-932,933-4304(-)	.	1	RAND79
E35_RAND100_A	chr3	8122507	0	4587	HPV16REF|lcl|Human	HPV:2782-7368(+)	.	1	RAND100
E36_RAND72_B	chr4	159267478	134237	5974	HPV16REF|lcl|Human	HPV:6434-1129,1130-4501(-)	.	1	RAND72
E37_RAND47_A	chr4	150985189	0	4587	HPV16REF|lcl|Human	HPV:2993-7579(+)	.	1	RAND47
E38_RAND28_B	chr4	146414343	134237	5974	HPV16REF|lcl|Human	HPV:4552-7153,7154-2619(-)	.	1	RAND28
E39_RAND23_A	chr4	117620861	0	4587	HPV16REF|lcl|Human	HPV:2424-7010(+)	.	1	RAND23
E40_lowgc_B	chr4	103351588	134237	5974	HPV16REF|lcl|Human	HPV:6993-1688,1689-5060(-)	.	1	lowgc
E41_RAND81_A	chr4	91376614	0	4587	HPV16REF|lcl|Human	HPV:1127-5713(+)	.	1	RAND81
E42_RAND64_B	chr4	58928008	134237	5974	HPV16REF|lcl|Human	HPV:2893-5494,5495-960(-)	.	1	RAND64
E43_RAND24_A	chr6	156364826	0	4587	HPV16REF|lcl|Human	HPV:3566-246(+)	.	1	RAND24
E44_RAND26_B	chr6	136676543	134237	5974	HPV16REF|lcl|Human	HPV:7750-2445,2446-5817(-)	.	1	RAND26
E45_RAND82_A	chr6	131082807	0	4587	HPV16REF|lcl|Human	HPV:3306-7892(+)	.	1	RAND82
E46_RAND34_B	chr6	93381568	134237	5974	HPV16REF|lcl|Human	HPV:3205-5806,5807-1272(-)	.	1	RAND34
E47_SINE_A	chr6	79484344	0	4587	HPV16REF|lcl|Human	HPV:435-5021(+)	.	1	SINE
E48_SINE_B	chr6	37176440	134237	5974	HPV16REF|lcl|Human	HPV:7560-2255,2256-5627(-)	.	1	SINE
E49_SINE_A	chr6	36910796	0	4587	HPV16REF|lcl|Human	HPV:1506-6092(+)	.	1	SINE
E50_RAND75_B	chr6	14355044	134237	5974	HPV16REF|lcl|Human	HPV:2865-5466,5467-932(-)	.	1	RAND75
E51_RAND56_A	chr7	124268593	0	4587	HPV16REF|lcl|Human	HPV:3620-300(+)	.	1	RAND56
E52_RAND43_B	chr7	90550926	134237	5974	HPV16REF|lcl|Human	HPV:6091-786,787-4158(-)	.	1	RAND43
E53_LINE_A	chr7	83120494	0	4587	HPV16REF|lcl|Human	HPV:2542-7128(+)	.	1	LINE
E54_RAND59_B	chr7	54641620	134237	5974	HPV16REF|lcl|Human	HPV:3629-6230,6231-1696(-)	.	1	RAND59
E55_RAND78_A	chr7	44888657	0	4587	HPV16REF|lcl|Human	HPV:3378-58(+)	.	1	RAND78
E56_RAND49_B	chr7	25425205	134237	5974	HPV16REF|lcl|Human	HPV:6479-1174,1175-4546(-)	.	1	RAND49
E57_RAND52_A	chr7	20495736	0	4587	HPV16REF|lcl|Human	HPV:1114-5700(+)	.	1	RAND52
E58_RAND97_B	chr7	8531584	134237	5974	HPV16REF|lcl|Human	HPV:3573-6174,6175-1640(-)	.	1	RAND97
E59_RAND77_A	chr9	134177454	0	4587	HPV16REF|lcl|Human	HPV:2922-7508(+)	.	1	RAND77
E60_RAND48_B	chr9	130279742	134237	5974	HPV16REF|lcl|Human	HPV:7068-1763,1764-5135(-)	.	1	RAND48
E61_RAND27_A	chr9	123173569	0	4587	HPV16REF|lcl|Human	HPV:3999-679(+)	.	1	RAND27
E62_RAND46_B	chr9	122889910	134237	5974	HPV16REF|lcl|Human	HPV:6137-832,833-4204(-)	.	1	RAND46
E63_SINE_A	chr9	116921587	0	4587	HPV16REF|lcl|Human	HPV:262-4848(+)	.	1	SINE
E64_RAND69_B	chr9	103450142	134237	5974	HPV16REF|lcl|Human	HPV:7163-1858,1859-5230(-)	.	1	RAND69
E65_lowgc_A	chr9	99956760	0	4587	HPV16REF|lcl|Human	HPV:769-5355(+)	.	1	lowgc
E66_LINE_B	chr9	97813335	134237	5974	HPV16REF|lcl|Human	HPV:5105-7706,7707-3172(-)	.	1	LINE
E67_RAND32_A	chr9	43629031	0	4587	HPV16REF|lcl|Human	HPV:7508-4188(+)	.	1	RAND32
E68_LINE_B	chr9	26645008	134237	5974	HPV16REF|lcl|Human	HPV:6829-1524,1525-4896(-)	.	1	LINE
E69_RAND85_A	chr9	22301659	0	4587	HPV16REF|lcl|Human	HPV:1906-6492(+)	.	1	RAND85
E70_RAND87_B	chr9	1300977	134237	5974	HPV16REF|lcl|Human	HPV:4563-7164,7165-2630(-)	.	1	RAND87
E71_RAND86_A	chr11	134933109	0	4587	HPV16REF|lcl|Human	HPV:1026-5612(+)	.	1	RAND86
E72_LINE_B	chr11	131789342	134237	5974	HPV16REF|lcl|Human	HPV:5057-7658,7659-3124(-)	.	1	LINE
E73_RAND96_A	chr11	123527721	0	4587	HPV16REF|lcl|Human	HPV:1969-6555(+)	.	1	RAND96
E74_RAND30_B	chr11	67955744	134237	5974	HPV16REF|lcl|Human	HPV:5075-7676,7677-3142(-)	.	1	RAND30
E75_RAND93_A	chr11	7531898	0	4587	HPV16REF|lcl|Human	HPV:2609-7195(+)	.	1	RAND93
E76_RAND33_B	chr11	2553267	134237	5974	HPV16REF|lcl|Human	HPV:3567-6168,6169-1634(-)	.	1	RAND33
E77_RAND65_A	chr12	81808145	0	4587	HPV16REF|lcl|Human	HPV:1065-5651(+)	.	1	RAND65
E78_SINE_B	chr12	66057682	134237	5974	HPV16REF|lcl|Human	HPV:6608-1303,1304-4675(-)	.	1	SINE
E79_RAND67_A	chr17	74543200	0	4587	HPV16REF|lcl|Human	HPV:948-5534(+)	.	1	RAND67
E80_RAND92_B	chr17	55999730	134237	5974	HPV16REF|lcl|Human	HPV:6869-1564,1565-4936(-)	.	1	RAND92
E81_RAND55_A	chr17	41270854	0	4587	HPV16REF|lcl|Human	HPV:3199-7785(+)	.	1	RAND55
E82_RAND36_B	chr17	21380272	134237	5974	HPV16REF|lcl|Human	HPV:7033-1728,1729-5100(-)	.	1	RAND36
E83_RAND44_A	chr18	77653869	0	4587	HPV16REF|lcl|Human	HPV:7137-3817(+)	.	1	RAND44
E84_RAND35_B	chr18	50983320	134237	5974	HPV16REF|lcl|Human	HPV:4304-6905,6906-2371(-)	.	1	RAND35
E85_RAND80_A	chr18	23246186	0	4587	HPV16REF|lcl|Human	HPV:2316-6902(+)	.	1	RAND80
E86_LINE_B	chr18	22565190	134237	5974	HPV16REF|lcl|Human	HPV:4646-7247,7248-2713(-)	.	1	LINE
E87_RAND62_A	chr18	19014455	0	4587	HPV16REF|lcl|Human	HPV:4157-837(+)	.	1	RAND62
E88_RAND53_B	chrX	145049173	134237	5974	HPV16REF|lcl|Human	HPV:6214-909,910-4281(-)	.	1	RAND53
E89_RAND25_A	chrX	135929167	0	4587	HPV16REF|lcl|Human	HPV:7322-4002(+)	.	1	RAND25
E90_RAND99_B	chrX	102926412	134237	5974	HPV16REF|lcl|Human	HPV:3534-6135,6136-1601(-)	.	1	RAND99
E91_EXTRA_A	chrX	97125896	0	4587	HPV16REF|lcl|Human	HPV:7789-4469(+)	.	1	EXTRA
E92_RAND40_B	chrX	63726892	134237	5974	HPV16REF|lcl|Human	HPV:3555-6156,6157-1622(-)	.	1	RAND40
E93_RAND98_A	chrX	53137878	0	4587	HPV16REF|lcl|Human	HPV:550-5136(+)	.	1	RAND98
E94_RAND68_B	chrX	51722651	134237	5974	HPV16REF|lcl|Human	HPV:6131-826,827-4198(-)	.	1	RAND68
E95_RAND95_A	chrX	46531920	0	4587	HPV16REF|lcl|Human	HPV:1016-5602(+)	.	1	RAND95
E96_RAND50_B	chrX	35132352	134237	5974	HPV16REF|lcl|Human	HPV:3893-6494,6495-1960(-)	.	1	RAND50
E97_RAND31_A	chrX	16421400	0	4587	HPV16REF|lcl|Human	HPV:3884-564(+)	.	1	RAND31
E98_RAND45_B	chrX	12318778	134237	5974	HPV16REF|lcl|Human	HPV:6920-1615,1616-4987(-)	.	1	RAND45
E99_RAND91_A	chrX	4312644	0	4587	HPV16REF|lcl|Human	HPV:3241-7827(+)	.	1	RAND91
E100_RAND29_B	chrX	2208853	134237	5974	HPV16REF|lcl|Human	HPV:2905-5506,5507-972(-)	.	1	RAND29
